governorate_mcna,district_mcna,latitude,longitude,,
al_anbar,Al-Falluja,33.3532137,43.7875674,,
al_anbar,Al-Kaim,34.3957715,40.9943684,,
al_anbar,Al-Ramadi,33.1758417,43.0358718,,
al_anbar,Al-Rutba,33.0367407,40.2876459,,
al_anbar,Ana,34.3725143,41.9858716,,
al_anbar,Haditha,34.1352594,42.3778367,,
al_anbar,Heet,33.6387394,42.8278537,,
al_basrah,Al-Basrah,30.4952371,47.8090981,,
al_basrah,Al-Zubair,30.3917664,47.7027042,,
al_najaf,Al-Kufa,32.03444,44.4031125,,","
al_najaf,Al-Najaf,32.0010227,44.3299926,,
al_qadissiya,Al-Diwaniya,31.98182921,44.89657435,,
al_sulaymaniyah,Al-Sulaymaniyah,35.5574098,45.4298074,,
al_sulaymaniyah,Chamchamal,35.5311005,44.8271913,,
al_sulaymaniyah,Derbendikhan,35.11354397,45.67921964,,
al_sulaymaniyah,Dokan,35.5552025,45.438999,,
al_sulaymaniyah,Halabcha,35.17888761,45.98580818,,
al_sulaymaniyah,Kalar,34.6498427,45.3537374,,
al_sulaymaniyah,Kifri,34.6219774,45.3072872,,
al_sulaymaniyah,Rania,36.2476521,44.8492699,,
babil,Al-Mussyab,32.76637825,44.28412895,,
baghdad,Al-Adhamiya,33.3699972,44.3651962,,
baghdad,Al-Kadhmiyah,33.38165198,44.34602369,,
baghdad,Al-Karkh,33.3163798,44.3658908,,
baghdad,Al-Mahmoudiya,33.056802,44.3649447,,
baghdad,Al-Risafa,33.3634337,44.4224225,,
diyala,Al-Khalis,33.8565767,44.5166811,,
diyala,Al-Muqdadiya,33.97823365,44.93712348,,
diyala,Baquba,33.744905,44.618715,,
diyala,Khanaqin,34.3475129,45.3919154,,
diyala,Kifri,34.6865956,44.9603501,,
duhok,Al-Amadiya,37.0919695,43.4874378,,
duhok,Duhok,36.8542598,42.9924528,,
duhok,Sumail,36.8616041,42.8426856,,
duhok,Zakho,37.1433762,42.6822907,,
erbil,Erbil,36.2487443,44.0863698,,
erbil,Koysinjaq,36.194303,44.0474109,,
erbil,Makhmour,35.77857316,43.57937832,,
erbil,Rawanduz,36.6145961,44.5265186,,
erbil,Shaqlawa,36.4000298,44.3367682,,
kerbala,Kerbela,32.6231309,44.039799,,
kirkuk,Al-Hawiga,35.32478725,43.77038784,,
kirkuk,Daquq,35.139511,44.445869,,
kirkuk,Dibis,35.6368834,44.1002627,,
kirkuk,Kirkuk,35.4719308,44.3953896,,
maysan,Al-Kahla,31.6684231,47.2945795,,
ninewa,Al-Baaj,36.0474503,41.7168685,,
ninewa,Al-Hamdaniya,36.2710491,43.3763511,,
ninewa,Al-Hatra,35.5773118,42.7340241,,
ninewa,Al-Mosul,36.3501849,43.1283395,,
ninewa,Al-Shikhan,36.7171359,43.4191101,,
ninewa,Aqra,36.7304865,43.8748927,,
ninewa,Sinjar,36.3192729,41.8598585,,
ninewa,Telafar,36.3734512,42.43969181,,
ninewa,Tilkaef,36.48962583,43.1220674,,
salah_al_din,Al-Daur,34.4583493,43.795799,,
salah_al_din,Al-Shirqat,35.5183136,43.2338281,,
salah_al_din,Balad,34.0118301,44.1449143,,
salah_al_din,Beygee,35.00806135,43.4964783,,
salah_al_din,Samarra,34.2,43.9,,
salah_al_din,Tikrit,34.615807,43.678606,,
salah_al_din,Tooz Khurmato,34.8855341,44.62215063,,
thi_qar,Al-Nasiriya,31.04949009,46.26582203,,
wassit,Al-Kut,32.5010274,45.8296334,,
