settlement,lat,lon
palorinya,3.241521594,31.55041999
bidibidi,3.522343005,31.33582873
rhino_camp,2.972731155,31.39639614
olua,3.301452826,31.89631535
imvepi,3.257217841,31.28045871
baratuku,3.475599303,31.89193052
lobule,3.399792361,31.03314788
maaji,3.21409091,31.65876314
nakivale,-0.749524946,30.76238676
palabek,3.365007694,32.41600915
mirieyi,1.58308906,32.18325282
oliji,3.290346873,31.94396424
agojo,3.409985932,31.73549607
boroli,3.301951115,31.85852796
mungula,3.379033802,31.78353292
kyangwali,1.220964641,30.81851829
rwamwanja,0.341955069,30.65324956
pagrinya,3.376329893,32.01335761
kyaka,0.359295058,31.07960842
nyumanzi,3.463663116,31.94364374
kiryandongo,1.951044696,32.13717912
alere,1.937966532,32.16171323
ayilo,3.255636635,31.95169345
elema,3.478963028,31.90941273
oruchinga,-0.934641558,30.75114052
