name,fclass,geometry
Kabale National Teachers College,school,POINT (29.9813725 -1.2555266)
Rumours Cafe,cafe,POINT (33.1967091 0.4196174)
,pub,POINT (33.1757829 0.4616056)
All Friends Restaurant & Bar,restaurant,POINT (33.1996246 0.435643)
Jinja Modern Secondary School,school,POINT (33.204857 0.4369849)
Ozzie's grill,restaurant,POINT (33.2078654 0.4260132)
Source of the Nile,restaurant,POINT (33.1965776 0.4208914)
Rubaga Girls Secondary School,school,POINT (32.5521879 0.3038098)
Queen of Peace Primary School,school,POINT (32.5524973 0.3048342)
Busega Primary School,school,POINT (32.5256517 0.3056668)
Govinda's Vegetarian Restaurant,restaurant,POINT (32.5900053 0.3154068)
Kampala Nursery Day Care,kindergarten,POINT (32.5714932 0.3159357)
Maggie's Bar,pub,POINT (32.558354 0.3107159)
Sir Apollo Kaggwa School,school,POINT (32.5563738 0.3094713)
Bukigai Health Centre,doctors,POINT (34.3701874 1.01434)
White Cross Medical Centre,doctors,POINT (34.3705362 1.0257595)
Nalwanza Secondary School,school,POINT (34.3606765 0.9981966)
Trinity Medical Centre,doctors,POINT (34.3309929 1.0118393)
Bududa Secondary School,school,POINT (34.3307285 1.0117771)
Trinity Integrated Academy,school,POINT (34.3304707 1.0133946)
Bududa District Police HQ,police,POINT (34.33104 1.01365)
Office of the District Registrar,public_building,POINT (34.1832785 1.0708851)
North Road Primary School,school,POINT (34.1790263 1.0747723)
Mbale Regional Referral Hospital,hospital,POINT (34.1767819 1.0764209)
St Martins Medical Centre,hospital,POINT (34.1772103 1.0756393)
Cure Children's Hospital of Uganda,hospital,POINT (34.1717568 1.0740559)
Nuralis Restaurant,restaurant,POINT (34.1761343 1.0725469)
National Water and Sewer Corp,public_building,POINT (34.1800726 1.0664981)
Uganda Red Cross,hospital,POINT (34.1746525 1.0724469)
Datwins Daycare And Nursery School,school,POINT (34.1698678 1.0693323)
Uganda National Roads Authority,public_building,POINT (34.1806349 1.0693919)
Mbale Police Barracks,police,POINT (34.1769023 1.0698647)
Bugema High School,school,POINT (34.1771379 1.0375612)
Mount Elgon Labour-Based College,college,POINT (34.2211703 1.1565133)
Police Buwalisi,police,POINT (34.2394783 1.1452303)
Uganda Technical College Elgon,college,POINT (34.2178154 1.1531454)
Namapo Secondary School,school,POINT (34.3371107 1.1698853)
Buhugu Secondary School,school,POINT (34.2872118 1.2376648)
Countryside Vocational Institute,college,POINT (34.189273 1.0077191)
Peace Medical Centre,hospital,POINT (34.2016546 0.9815378)
