,camp_signed,camp_abs,noncamp_signed,noncamp_abs
dist_nearest_pharmacy_doctors_m,0.0,0.0,-0.011409077211694171,0.1811896988175815
dist_nearest_bar_m,-0.00019540413161523178,0.0050535826831702305,0.0005455520689681111,0.061148689421027975
amenity_shelter_within_5km,0.0,0.0,0.012391994846167114,0.05685001922806697
dist_nearest_fire_station_m,0.0,0.0,-0.0023685177013127996,0.03520396849827042
dist_nearest_hospital_clinic_m,0.0,0.0,-0.005549184351896697,0.030129036325782378
dist_nearest_bureau_de_change_bank_m,-0.00047643647277448206,0.025486149080799905,-0.004079035860145024,0.018492456116901493
amenity_pharmacy_within_2km,0.0,0.0,-9.30122111450236e-05,0.023491959519473714
amenity_school_within_2km,0.0,0.0,-0.00476074229041494,0.02274987322346707
amenity_fast_food_within_5km,0.0,0.0,0.0029720439091601007,0.022166217605701574
dist_nearest_school_college_m,0.0,0.0,-0.0008413598041163071,0.020497018343089948
dist_to_baghdad_m,0.0,0.0,0.003139588708281098,0.018201787543165426
amenity_place_of_worship_within_2km,0.0007883937697432979,0.0019113334444731988,0.007615028260387157,0.01695634748539731
dist_nearest_parking_entrance_m,0.0,0.0,0.0018144982875500518,0.015586359762991567
dist_nearest_internet_cafe_m,0.0,0.0,-0.0013557416546222073,0.014359543946659808
dist_nearest_parking_m,0.0028175329371884317,0.013666606928012139,-0.0008045589774397839,0.010138551051044971
dist_nearest_fuel_m,0.0,0.0,0.00458237142412779,0.013300369029674738
dist_nearest_hospital_m,0.0,0.0,-0.006973981209807543,0.012869090695460415
amenity_atm_within_2km,0.0,0.0,0.0004404159311001624,0.007755149321378522
dist_nearest_bus_station_m,0.0,0.0,0.0015920676483591495,0.0074807921817132035
amenity_restaurant_within_2km,1.846252521494901e-05,5.5228123745706194e-05,-5.6226657878721646e-05,0.0067272438941167025
dist_nearest_public_building_m,0.0,0.0,-0.0007124243159858176,0.006594009853900312
dist_nearest_bank_m,0.0,0.0,-0.00017572172438967508,0.005796528641589131
dist_nearest_atm_m,0.0,0.0,0.0016051520613242177,0.00567423856636791
amenity_parking_within_2km,0.0,0.0,0.0002013781271939384,0.005038604735956424
dist_nearest_language_school_m,0.0,0.0,0.0006536333486248172,0.004215600124956243
dist_nearest_cinema_m,0.0,0.0,0.0015239746920777543,0.003955660220115744
amenity_hospital_within_2km,0.0,0.0,0.0015479671815865517,0.003846999500190178
amenity_police_within_2km,0.0012505130000707307,0.0033464082026490225,0.0,0.0
dist_nearest_cafe_m,0.0,0.0,0.0014500626612847253,0.0032829921129941147
