,district_mcna_te_meanSHAP,relationship_te_meanSHAP,marital_status_te_meanSHAP
al-adhamiya,-0.0021898170354048563,,
al-amadiya,0.20515867876438384,,
al-baaj,-0.03707449476621997,,
al-basrah,-0.02433457090519532,,
al-daur,-0.018604760806005646,,
al-diwaniya,-0.027692868465555926,,
al-falluja,-0.008707083046637747,,
al-hamdaniya,-0.0009168734571724332,,
al-hatra,0.04194096085063422,,
al-hawiga,0.008460228738763207,,
al-kadhmiyah,-0.03719709003709263,,
al-kahla,0.0059268499479959574,,
al-kaim,-0.012966773220294006,,
al-karkh,-0.008224560696604368,,
al-khalis,0.05543296178260666,,
al-kufa,0.024763148209820316,,
al-kut,0.0908191712279372,,
al-mahmoudiya,-0.02952848431486605,,
al-mosul,-0.0132225754565128,,
al-muqdadiya,-0.013352467817854286,,
al-mussyab,0.005754544247063795,,
al-najaf,0.011146490622379617,,
al-nasiriya,-0.02046843209417903,,
al-ramadi,0.04657387857160798,,
al-risafa,-0.03674878686718485,,
al-rutba,-0.06371757494541457,,
al-shikhan,-0.00567629784082406,,
al-shirqat,0.0474128617139012,,
al-sulaymaniyah,-0.03967442025494533,,
al-zubair,0.004902665742748608,,
ana,-0.024386421433819756,,
aqra,0.004358265531334543,,
balad,0.030754755404256817,,
baquba,0.006187799875213948,,
beygee,-0.0071751662668239026,,
chamchamal,-0.012301269447780459,,
daquq,-0.00604571381265766,,
derbendikhan,-0.03885416861297252,,
dibis,-0.01777484453583842,,
dokan,-0.036062176039802364,,
duhok,0.1240935748628487,,
erbil,-0.01411163590534201,,
haditha,-0.006891351162465176,,
halabcha,0.029642200389294833,,
heet,-0.0447540991833059,,
kalar,0.18951824637390918,,
kerbela,0.1356564808035522,,
khanaqin,-0.004497981161047206,,
kifri,-0.03958844092958748,,
kirkuk,0.040145207135738985,,
koysinjaq,-0.01637503745597137,,
makhmour,0.07530882000587548,,
rania,0.028502186684630143,,
rawanduz,-0.04693421730629943,,
samarra,-0.012426553743424945,,
shaqlawa,0.07468513084595643,,
sinjar,0.007981332892822142,,
sumail,-0.023393949609703684,,
telafar,-0.022156583707469875,,
tikrit,0.010727530567109404,,
tilkaef,0.02618275405101508,,
tooz khurmato,0.04569755881988176,,
zakho,-0.014175057771408331,,
child,,-0.002204299577776387,
childinlaw,,-0.01581654979619411,
grandchild,,0.18016585036497265,
nephew_niece,,-0.33796425928838203,
other_relative,,,
parent,,0.025481766868121,
sibling,,-0.029029388460825346,
spouse,,-0.3968346367118765,
married,,,-1.3382981694383742
single,,,-0.0005234255348944536
widowed,,,
