,camp_signed,camp_abs,noncamp_signed,noncamp_abs
lat,0.086398400772738,0.5692175010621403,-0.0015049357628536858,0.020211011164817702
age_low,-0.03255253108770729,0.32466929528720195,0.04459011249176213,0.35639328104402557
inc_employment_pension,0.007812247129438364,0.22306519631363397,-0.02440361459066566,0.2706106331543879
dist_nearest_parking_m,0.02188099914825263,0.2383384332291726,-0.0009128211506724325,0.008272424212510855
sex,0.008714514266564386,0.15067886953017587,0.000866369176397505,0.22334768086110943
return_durationdisplace,0.0,0.0,-0.01287398015449572,0.21658545247097702
child_work,-0.008426045126763893,0.1873830280632711,0.006901371470620637,0.09121767818595039
medical_exp,0.0055941724367060425,0.08476592966050696,0.0030034661869191583,0.16579634659509368
exp_per_cap,-0.009375539917969954,0.11943589214895532,0.0022072641005898446,0.14513382669381142
tot_expenses,-0.006289301008049503,0.12658424312406297,-0.012317249251890344,0.087910939590181
distance_hospital,0.006686144424257553,0.060870184171230406,0.0025032150213371625,0.12160240026314031
how_much_debt,0.008288223559857574,0.08800185251949108,-0.006434378831925715,0.12131381913802879
no_food,0.0029227501303789277,0.11746568965932072,0.0024728109823319855,0.011770683786723522
num_hh_member,-0.013507568081280298,0.11394828008418471,-0.006768849712741419,0.07734296247563277
dist_nearest_pharmacy_doctors_m,0.0,0.0,-0.006740465222546774,0.11117004238479612
shelter_type_area_assessed,0.0,0.0,0.0009413745954601837,0.10639073473742275
distance_clinic,-0.00665058456588939,0.059346097454782594,-0.023348982104286375,0.0992215281544202
calc_expenditure,-0.002827872959701866,0.05733536308763407,0.001126874269093807,0.09164899700739032
difficulty_selfcare,-0.01781041484056907,0.08484226526406305,0.002787534840339648,0.023994984552577488
age_high,-0.008017180522786802,0.07956308422058643,0.007748709747415946,0.06998190213402662
rent_exp,0.0,0.0,-0.0011692333451278748,0.0724182535707407
cheaper_food,0.0008619826494936884,0.06006223911591724,-0.003763714023057368,0.06844803726000138
food_exp,0.008728419216677647,0.06563979923527705,0.016184255515734654,0.05776853854371338
consuming_less_per_meal,-0.0025304439429072447,0.03736619423186285,0.0037957912900558766,0.06316531764376704
dist_nearest_childcare_m,-0.006297486810514599,0.061175985857010375,0.0013498687501970078,0.015815613492737128
marital_status_te,-0.0023887249556350187,0.04107425548456354,-0.05061264794984803,0.05465441665544143
reduce_for_adults,-0.008871894530466771,0.053304383634319885,0.002067941342472824,0.0074796837272665595
health_accessed_number,-7.456410010427448e-05,0.052991479695534915,-5.4270225276692605e-05,0.04184650653513359
number_missing_docs_below18,0.0009905034058801064,0.05247058284251305,0.0022795156472810575,0.027064660317049218
dist_nearest_clinic_doctors_m,-0.0039226404589810405,0.04983399945223353,0.00016127273104708597,0.011709212253741703
dist_nearest_social_facility_m,0.001175323886153332,0.015065905964112511,-0.0031551294423756843,0.0488675120654857
dist_nearest_motorcycle_parking_m,0.0001459777802091417,0.011252816708014134,0.002451884385931566,0.04790917652242127
dist_to_baghdad_m,0.0041209031862165825,0.04624532242673092,0.0014966303342215362,0.037123720596715794
child_dropout_school,0.0008022454932948217,0.045048466652501305,-0.002893201707649045,0.03403977615274446
child_work_cs,-0.0014286215460994102,0.02041287737308225,0.0009464535105293494,0.04442660493504686
dist_nearest_animal_shelter_m,-0.013075312546397048,0.04327557355985691,0.0015971499692438705,0.013312241597576477
difficulty_communicating,0.0,0.0,0.004123690337879613,0.04259063245493081
dist_nearest_community_centre_m,-0.0002481832328021201,0.004547020337554106,-0.006156817645667128,0.04254698686308545
dist_nearest_public_building_m,-0.00015277690125907621,0.005184618764221082,0.008978815217387305,0.041141956645929435
shelter_number,0.0004191208059345083,0.03985577788197791,0.0,0.0
dist_nearest_refugee_site_m,1.9529009361794013e-05,0.012312622488296733,0.003523259745918708,0.03746301366194647
dist_nearest_hospital_clinic_m,0.0,0.0,-0.003694590535491778,0.03665497175475489
shared_sanitation,-0.0007344569459887925,0.03613871342258868,-0.0037620811949038643,0.017646312933570888
district_mcna_te,0.0,0.0,0.0007170266254880372,0.035236584066193004
dist_nearest_parking_space_m,3.122249686991364e-05,0.005614993053922694,0.00313369503400211,0.034677474650233894
calc_expenditure_camp,0.005232052236789456,0.03317013922897609,0.0,0.0
medical_exp_log,0.001791465367599552,0.02039491385798284,0.003523805795560903,0.031335365237172445
amenity_clinic_within_5km,0.0,0.0,-0.0006362208591468361,0.03074533618337877
difficulty_remembering,0.0,0.0,0.0032439676629374063,0.030086126355291225
